"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"884","RT @dunkirkmovie: Play the final chapter of Destination: #Dunkirk on Amazon Alexa now and see if you can survive as an RAF Pilot: https://t‚Ä¶",FALSE,0,NA,2017-07-24 10:32:40,FALSE,NA,"889433139902267392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","niall_horan_246",931,TRUE,FALSE,NA,NA
"885","RT @miakhalifa: I love Chris Nolan more than I love my dogs, but Dunkirk sucked more dick than I did in 2014",FALSE,0,NA,2017-07-24 10:32:37,FALSE,NA,"889433129110220801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EdinPrabu",4173,TRUE,FALSE,NA,NA
"886","Anything By Christopher Nolan and Hans Zimmer is brilliant Ì†ΩÌ±åÌ†ΩÌ±å #Dunkirk",FALSE,1,NA,2017-07-24 10:32:36,FALSE,NA,"889433125280927744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealVikramSena",0,FALSE,FALSE,NA,NA
"887","RT @GameGriffin: Shout out to the man in the audience for Dunkirk who turned to his girlfriend + said ""Dunkirk"" when the word 'Dunkirk' cam‚Ä¶",FALSE,0,NA,2017-07-24 10:32:36,FALSE,NA,"889433124874203136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","samuelwynmorris",555,TRUE,FALSE,NA,NA
"888","RT @miakhalifa: I love Chris Nolan more than I love my dogs, but Dunkirk sucked more dick than I did in 2014",FALSE,0,NA,2017-07-24 10:32:34,FALSE,NA,"889433117357989888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ilyaline2000_",4173,TRUE,FALSE,NA,NA
"889","RT @supermorgy: 'Dunkirk' starts strong on first weekend https://t.co/Q1ntSyOg6C",FALSE,0,NA,2017-07-24 10:32:33,FALSE,NA,"889433113675354114",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","valmendez08",2289,TRUE,FALSE,NA,NA
"890","RT @Harry_Styles: Honored to have been a part of this, I hope you love it. 
Dunkirk is out tomorrow. 
See it in IMAX. H https://t.co/ns9xix‚Ä¶",FALSE,0,NA,2017-07-24 10:32:30,FALSE,NA,"889433099691601920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","louqueen_",133765,TRUE,FALSE,NA,NA
"891","dunkirk is amazing, christopher nolan had done a great job",FALSE,0,NA,2017-07-24 10:32:30,FALSE,NA,"889433099292950530",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","irishderbyhoran",0,FALSE,FALSE,NA,NA
"892","@stephanecel @Variety Dunkirk is the best ...by a mile",FALSE,0,"stephanecel",2017-07-24 10:32:28,FALSE,"889373894116823040","889433092011806720","544927764","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","relentlessgat",0,FALSE,FALSE,NA,NA
"893","just watched Captain Underpants at Hemel @cineworld &amp; it was ok. 
Now just about to watch Dunkirk :). 
#UnlimitedCard",FALSE,0,NA,2017-07-24 10:32:25,FALSE,NA,"889433077730226178",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WatfordFcRob7",0,FALSE,FALSE,NA,NA
